HUC_ID,NAME,k_stage_0_mean,k_stage_Pb_1_mean,k_stage_Pb_2_mean,k_stage_Pb_3_mean,k_stage_Pb_4_mean,k_spawners_mean
30000,Coquitlam Lake,,,,,,0
30001,Coquitlam River R0,,,,,,0
30002,Coquitlam River R1,,,,,,0
30003,Coquitlam River R2a,,,,,,0
30004,Coquitlam River R2b,,,,,,0
30005,Coquitlam River R3,,,,,,0
30006,Coquitlam River R4,,,,,,0
30007,Cedar Creek (lower),,,,,,960
30008,Cedar Creek (upper),,,,,,0
30009,Falls Creek,,,,,,0
30010,Beaver Creek,,,,,,240
30011,Upper Coquitlam River (below falls),,,,,,0
30012,Upper Coquitlam River (R1 above falls),,,,,,0
30013,Upper Coquitlam River (R2 above falls),,,,,,0
30014,Branch Creek,,,,,,0
30015,Archery Ponds (lower),,,,,,0
30016,Archery Ponds (upper),,,,,,0
30017,Colony Farms (Phase 1),,,,,,0
30018,Colony Farms (Phase 2),,,,,,0
30019,Colony Farms (Phase 3),,,,,,0
30020,Grant's Tomb,,,,,,0
30021,Grist Ponds,,,,,,0
30022,Maple Creek,,,,,,0
30023,Or Creek (lower),,,,,,0
30024,Or Creek (upper),,,,,,0
30025,Or Ponds,,,,,,0
30026,Overland Creek,,,,,,0
30027,Overland Ponds (lower),,,,,,0
30028,Overland Ponds (upper),,,,,,0
30029,Oxbow Ponds,,,,,,0
30030,Reeve Slough,,,,,,0
30031,Slade Creek,,,,,,0
30032,Swoboda Channel,,,,,,0
30033,Wilson Farm,,,,,,0
30034,Coquitlam Lake (central basin),,,,,,7000
30035,Coquitlam Lake (north basin),,,,,,0
30036,Coquitlam Lake (south basin),,,,,,0
